Feature,Type,Precision,Recall,F1,Missing Total,Missing Match,Missing Match %
Female,Binary,0.9354838709677419,0.8787878787878788,0.90625,3,0,0.0
SpeechDys,Binary,0.9,0.8571428571428571,0.8780487804878049,3,0,0.0
Seizures,Binary,0.7083333333333334,0.9714285714285714,0.8192771084337349,3,0,0.0
MvmtDis,Binary,0.9090909090909091,0.8823529411764706,0.8955223880597015,2,0,0.0
Obtunded,Binary,0.782608695652174,0.72,0.75,3,0,0.0
BrainstemDys,Binary,0.8571428571428571,0.6206896551724138,0.72,3,0,0.0
BehCogImp,Binary,0.9183673469387755,1.0,0.9574468085106383,3,0,0.0
ITU,Binary,1.0,0.8888888888888888,0.9411764705882353,24,0,0.0
EEGSlow,Binary,0.88,0.9166666666666666,0.8979591836734694,19,0,0.0
EEGDeltaBrush,Binary,0.5,1.0,0.6666666666666666,19,0,0.0
EEGEpileptiform,Binary,0.6666666666666666,0.6666666666666666,0.6666666666666666,19,0,0.0
CSFPleo,Binary,1.0,0.6333333333333333,0.7755102040816326,20,2,0.1
AbnMRIBrain,Binary,0.5625,0.42857142857142855,0.4864864864864865,16,0,0.0
Tumour,Binary,0.8461538461538461,1.0,0.9166666666666666,0,0,
ITWithin30Days,Binary,0.16666666666666666,0.2,0.18181818181818182,40,8,0.2
IT2ndLineRTX,Binary,0.9230769230769231,1.0,0.96,0,0,
IT2ndLineCYC,Binary,0.6666666666666666,1.0,0.8,0,0,
IT2ndLineBort,Binary,0.0,0.0,0.0,0,0,
IT2ndLineToc,Binary,0.0,0.0,0.0,0,0,
ITMaintenanceMMF,Binary,0.3333333333333333,1.0,0.5,0,0,
ITMaintenanceAZA,Binary,0.0,0.0,0.0,0,0,
ITMaintenanceMTX,Binary,0.0,0.0,0.0,0,0,
IT6mSteroid,Binary,0.0,0.0,0.0,0,0,
IT6mIVIG,Binary,0.0,0.0,0.0,0,0,
