Feature,Type,Precision,Recall,F1,Missing Total,Missing Match,Missing Match %
Female,Binary,1.0,1.0,1.0,0,0,
SpeechDys,Binary,1.0,1.0,1.0,0,0,
Seizures,Binary,0.75,1.0,0.8571428571428571,0,0,
MvmtDis,Binary,1.0,1.0,1.0,0,0,
Obtunded,Binary,0.5,0.5,0.5,0,0,
BrainstemDys,Binary,1.0,0.3333333333333333,0.5,0,0,
BehCogImp,Binary,0.8,1.0,0.8888888888888888,0,0,
ITU,Binary,1.0,1.0,1.0,0,0,
EEGSlow,Binary,1.0,1.0,1.0,0,0,
EEGDeltaBrush,Binary,1.0,1.0,1.0,0,0,
EEGEpileptiform,Binary,0.0,0.0,0.0,0,0,
CSFPleo,Binary,1.0,1.0,1.0,0,0,
AbnMRIBrain,Binary,0.0,0.0,0.0,0,0,
Tumour,Binary,1.0,1.0,1.0,0,0,
ITWithin30Days,Binary,1.0,1.0,1.0,0,0,
IT2ndLineRTX,Binary,0.6666666666666666,1.0,0.8,0,0,
IT2ndLineCYC,Binary,0.0,0.0,0.0,0,0,
IT2ndLineBort,Binary,0.0,0.0,0.0,0,0,
IT2ndLineToc,Binary,0.0,0.0,0.0,0,0,
ITMaintenanceMMF,Binary,0.0,0.0,0.0,0,0,
ITMaintenanceAZA,Binary,0.0,0.0,0.0,0,0,
ITMaintenanceMTX,Binary,0.0,0.0,0.0,0,0,
IT6mSteroid,Binary,0.0,0.0,0.0,0,0,
IT6mIVIG,Binary,0.0,0.0,0.0,0,0,
