Feature,Type,Precision,Recall,F1,Balanced Accuracy,Missing Precision,Missing Recall,Number of Valid Cases
Female,Binary,1.0,1.0,1.0,1.0,,0.0,29
SpeechDys,Binary,0.7777777777777778,1.0,0.875,0.8666666666666667,0.0,0.0,29
Seizures,Binary,0.76,0.95,0.8444444444444444,0.6416666666666666,0.0,0.0,29
MvmtDis,Binary,0.8095238095238095,0.9444444444444444,0.8717948717948718,0.7904040404040404,0.0,0.0,29
Obtunded,Binary,0.7333333333333333,0.6470588235294118,0.6875,0.6568627450980392,0.3333333333333333,1.0,29
BrainstemDys,Binary,0.6875,0.7857142857142857,0.7333333333333333,0.7261904761904762,0.3333333333333333,1.0,29
BehCogImp,Binary,0.9629629629629629,1.0,0.9811320754716981,0.8333333333333333,,0.0,29
ITU,Binary,0.65,1.0,0.7878787878787878,0.7083333333333334,0.2857142857142857,0.4,25
EEGSlow,Binary,0.7391304347826086,1.0,0.85,0.6666666666666666,0.6,0.75,26
EEGDeltaBrush,Binary,0.2,1.0,0.3333333333333333,0.9199999999999999,0.5,0.75,26
EEGEpileptiform,Binary,0.5,1.0,0.6666666666666666,0.8157894736842105,0.6,0.75,26
CSFPleo,Binary,0.8823529411764706,0.8333333333333334,0.8571428571428571,0.75,0.5714285714285714,0.6666666666666666,24
AbnMRIBrain,Binary,0.55,0.6470588235294118,0.5945945945945946,0.3735294117647059,0.2857142857142857,0.6666666666666666,27
Tumour,Binary,0.8,1.0,0.8888888888888888,0.9545454545454546,0.0,,30
ITWithin30Days,Binary,0.4,0.6666666666666666,0.5,0.5,0.5,0.26666666666666666,15
IT2ndLineRTX,Binary,1.0,1.0,1.0,1.0,,,30
IT2ndLineCYC,Binary,0.5,1.0,0.6666666666666666,0.9827586206896552,,,30
IT2ndLineBort,Binary,,,,1.0,,,30
IT2ndLineToc,Binary,,,,1.0,,,30
ITMaintenanceMMF,Binary,1.0,1.0,1.0,1.0,,,30
ITMaintenanceAZA,Binary,0.0,,,0.9666666666666667,,,30
ITMaintenanceMTX,Binary,,,,1.0,,,30
IT6mSteroid,Binary,0.0,,,0.9666666666666667,,,30
IT6mIVIG,Binary,,,,1.0,,,30
Relapse,Binary,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8148148148148148,0.0,,30
