Prompt ID,Weighted Precision of Binary Features,Weighted Recall of Binary Features,Weighted F1 Score of Binary Features,Weighted Balanced Accuracy of Binary Features,Weighted NMSE of Continuous Features,Cross Entropy of the Categorical Feature,Micro Averaged Precision of Missingness,Micro Averaged Recall of Missingness,Micro Averaged F1 Score of Missingness,Total Score
00000,0.492,0.56,0.5104126984126984,0.8586666666666666,3.1895676349033812,2.2204460492503136e-16,0.6,0.75,0.6666666666666665,2.9771284119940833
00001,0.502,0.56,0.5161269841269841,0.8686666666666666,2.867282721770004,9.010913347279288,0.6,0.75,0.6666666666666665,2.043291010813615
00010,0.49866666666666665,0.56,0.517079365079365,0.8636666666666666,3.1895676349033812,2.2204460492503136e-16,0.6,0.75,0.6666666666666665,2.982128411994083
00011,0.49866666666666665,0.56,0.517079365079365,0.8636666666666666,3.2907112313921707,9.010913347279288,0.6,0.75,0.6666666666666665,1.964502742900434
00100,0.502,0.56,0.5161269841269841,0.8686666666666666,3.1892656904022583,2.2204460492503136e-16,0.5,0.5,0.5,2.820514363328419
00101,0.49866666666666665,0.58,0.5304126984126984,0.8736666666666666,3.594660227495974,2.2204460492503136e-16,0.5,0.75,0.6,2.8548687642866746
00110,0.5186666666666666,0.56,0.5304126984126984,0.8686666666666666,3.1779935608293073,2.2204460492503136e-16,0.5,0.5,0.5,2.8224786876428665
00111,0.492,0.58,0.5237460317460318,0.8686666666666666,3.1895676349033812,2.2204460492503136e-16,0.6,0.75,0.6666666666666665,2.987128411994083
01000,0.49866666666666665,0.56,0.517079365079365,0.8636666666666666,0.11586888013328532,2.2204460492503136e-16,1.0,0.5,0.6666666666666666,3.517762886403394
01001,0.502,0.58,0.5294603174603175,0.8786666666666666,0.13617655959250047,9.010913347279288,1.0,0.5,0.6666666666666666,2.5292239926856124
01010,0.49866666666666665,0.56,0.517079365079365,0.8636666666666666,3.1979992957873997,2.2204460492503136e-16,0.6,0.75,0.6666666666666665,2.980659078592754
01011,0.502,0.56,0.5161269841269841,0.8686666666666666,0.04373430157004779,2.2204460492503136e-16,1.0,0.5,0.6666666666666666,3.535333333333333
01100,0.4953333333333333,0.56,0.513079365079365,0.8653333333333333,3.12174182036704,2.2204460492503136e-16,0.6,0.75,0.6666666666666665,2.995614663928882
01101,0.49866666666666665,0.58,0.5304126984126984,0.8736666666666666,3.2636417089774556,9.010913347279288,0.6,0.75,0.6666666666666665,1.9792199811752047
01110,0.502,0.58,0.5294603174603175,0.8786666666666666,3.2636417089774556,2.2204460492503136e-16,0.6,0.75,0.6666666666666665,2.9842199811752046
01111,0.5046666666666666,0.6,0.5399365079365079,0.8836666666666666,0.19188244971819593,2.2204460492503136e-16,1.0,0.5,0.6666666666666666,3.5245164716955757
10000,0.492,0.56,0.5104126984126984,0.8586666666666666,2.7844750423107887,9.010913347279288,0.6666666666666666,0.5,0.5714285714285715,1.9524832977967308
10001,0.49866666666666665,0.58,0.5304126984126984,0.8736666666666666,3.195815894441114,2.2204460492503136e-16,0.6,0.75,0.6666666666666665,2.991039566443337
10010,0.492,0.58,0.5237460317460318,0.8686666666666666,3.180176962175593,2.2204460492503136e-16,0.6,0.75,0.6666666666666665,2.98876486645895
10011,0.49866666666666665,0.58,0.5304126984126984,0.8736666666666666,3.2438798798548114,9.010913347279288,0.6,0.75,0.6666666666666665,1.9826637529303408
10100,0.5086666666666666,0.58,0.5361269841269841,0.8836666666666666,0.27941205471150676,2.2204460492503136e-16,1.0,0.5,0.6666666666666666,3.5092632287116667
10101,0.502,0.56,0.5161269841269841,0.8686666666666666,3.1779955258905193,2.2204460492503136e-16,0.6,0.75,0.6666666666666665,2.9891450118704674
10110,0.492,0.58,0.5237460317460318,0.8686666666666666,0.27449012306579923,9.010913347279288,1.0,0.5,0.6666666666666666,2.4951209433026094
10111,0.492,0.56,0.5104126984126984,0.8586666666666666,3.117676962175593,2.2204460492503136e-16,0.6,0.75,0.6666666666666665,2.9896563549623787
11000,0.492,0.58,0.5237460317460318,0.8686666666666666,3.1779935608293073,9.010913347279288,0.6,0.75,0.6666666666666665,1.989145354309533
11001,0.492,0.56,0.5104126984126984,0.8586666666666666,3.2814640425892625,2.2204460492503136e-16,0.5,0.5,0.5,2.794447526642342
11010,0.5186666666666666,0.56,0.5304126984126984,0.8686666666666666,3.2636417089774556,2.2204460492503136e-16,0.6,0.75,0.6666666666666665,2.974219981175205
11011,0.5086666666666666,0.56,0.5227936507936508,0.8736666666666666,0.11722795718031478,2.2204460492503136e-16,1.0,0.5,0.6666666666666666,3.5275260484508664
11100,0.5086666666666666,0.58,0.5361269841269841,0.8836666666666666,3.1698058057807375,2.2204460492503136e-16,0.5,0.5,0.5,2.838905517082553
11101,0.49866666666666665,0.56,0.517079365079365,0.8636666666666666,5.782160227495973,2.2204460492503136e-16,0.5714285714285714,1.0,0.7272727272727273,2.5909393939393937
11110,0.49866666666666665,0.56,0.517079365079365,0.8636666666666666,3.2720733698614737,9.010913347279288,0.6,0.75,0.6666666666666665,1.967750647773875
11111,0.492,0.58,0.5237460317460318,0.8686666666666666,3.1892656904022583,2.2204460492503136e-16,0.6,0.75,0.6666666666666665,2.9871810299950856
